Strain,Accession ID,Collection date,lineage,scorpio_call,Location
hCoV-19/USA/AK-PHL12619/2021,EPI_ISL_4298584,8/26/2021,AY.3,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12624/2021,EPI_ISL_4298585,8/13/2021,AY.54,Delta (B.1.617.2-like),Gulf Coast
hCoV-19/USA/AK-PHL12625/2021,EPI_ISL_4298586,8/13/2021,AY.54,Delta (B.1.617.2-like),Gulf Coast
hCoV-19/USA/AK-PHL12627/2021,EPI_ISL_4298587,8/16/2021,AY.25.1,Delta (B.1.617.2-like),Gulf Coast
hCoV-19/USA/AK-PHL12632/2021,EPI_ISL_4298588,8/27/2021,AY.54,Delta (B.1.617.2-like),Northern
hCoV-19/USA/AK-PHL12637/2021,EPI_ISL_4298589,8/26/2021,AY.44,Delta (B.1.617.2-like),Interior
hCoV-19/USA/AK-PHL12651/2021,EPI_ISL_4298590,8/26/2021,AY.44,Delta (B.1.617.2-like),Gulf Coast
hCoV-19/USA/AK-PHL12656/2021,EPI_ISL_4298591,8/27/2021,AY.122,Delta (B.1.617.2-like),Southwest
hCoV-19/USA/AK-PHL12672/2021,EPI_ISL_4298592,8/30/2021,AY.54,Delta (B.1.617.2-like),Gulf Coast
hCoV-19/USA/AK-PHL12676/2021,EPI_ISL_4298593,8/30/2021,AY.26,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12686/2021,EPI_ISL_4298594,8/31/2021,AY.54,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12687/2021,EPI_ISL_4298595,8/30/2021,AY.54,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12691/2021,EPI_ISL_4298596,8/30/2021,AY.54,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12665/2021,EPI_ISL_4298597,8/30/2021,AY.54,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12699/2021,EPI_ISL_4298598,8/27/2021,AY.54,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12615/2021,EPI_ISL_4298599,8/26/2021,AY.44,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12654/2021,EPI_ISL_4298600,8/27/2021,AY.26,Delta (B.1.617.2-like),Gulf Coast
hCoV-19/USA/AK-PHL12684/2021,EPI_ISL_4298601,8/31/2021,AY.54,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12646/2021,EPI_ISL_4298602,7/26/2021,AY.103,Delta (B.1.617.2-like),Southeast
hCoV-19/USA/AK-PHL12690/2021,EPI_ISL_4298603,8/30/2021,AY.113,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12640/2021,EPI_ISL_4298604,8/25/2021,AY.25,Delta (B.1.617.2-like),Gulf Coast
hCoV-19/USA/AK-PHL12641/2021,EPI_ISL_4298605,8/25/2021,AY.25,Delta (B.1.617.2-like),Gulf Coast
hCoV-19/USA/AK-PHL12663/2021,EPI_ISL_4298606,8/27/2021,AY.122,Delta (B.1.617.2-like),Southwest
hCoV-19/USA/AK-PHL12668/2021,EPI_ISL_4298607,8/30/2021,AY.44,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12680/2021,EPI_ISL_4298608,8/31/2021,AY.25.1,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12698/2021,EPI_ISL_4298609,8/21/2021,AY.25.1,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12688/2021,EPI_ISL_4298610,8/30/2021,AY.13,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12662/2021,EPI_ISL_4298611,8/27/2021,AY.122,Delta (B.1.617.2-like),Southwest
hCoV-19/USA/AK-PHL12616/2021,EPI_ISL_4298612,8/26/2021,AY.44,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12626/2021,EPI_ISL_4298613,8/14/2021,AY.75,Delta (B.1.617.2-like),Gulf Coast
hCoV-19/USA/AK-PHL12683/2021,EPI_ISL_4298614,8/31/2021,AY.75,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12682/2021,EPI_ISL_4298615,8/31/2021,AY.44,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12613/2021,EPI_ISL_4298616,8/25/2021,AY.44,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12620/2021,EPI_ISL_4298617,8/23/2021,AY.103,Delta (B.1.617.2-like),Northern
hCoV-19/USA/AK-PHL12630/2021,EPI_ISL_4298618,8/30/2021,AY.44,Delta (B.1.617.2-like),Northern
hCoV-19/USA/AK-PHL12642/2021,EPI_ISL_4298619,8/25/2021,AY.25,Delta (B.1.617.2-like),Gulf Coast
hCoV-19/USA/AK-PHL12643/2021,EPI_ISL_4298620,8/25/2021,AY.25,Delta (B.1.617.2-like),Gulf Coast
hCoV-19/USA/AK-PHL12645/2021,EPI_ISL_4298621,8/18/2021,AY.122,Delta (B.1.617.2-like),Southwest
hCoV-19/USA/AK-PHL12659/2021,EPI_ISL_4298622,8/27/2021,AY.122,Delta (B.1.617.2-like),Southwest
hCoV-19/USA/AK-PHL12660/2021,EPI_ISL_4298623,8/25/2021,AY.122,Delta (B.1.617.2-like),Southwest
hCoV-19/USA/AK-PHL12661/2021,EPI_ISL_4298624,8/26/2021,AY.122,Delta (B.1.617.2-like),Southwest
hCoV-19/USA/AK-PHL12669/2021,EPI_ISL_4298625,8/30/2021,AY.25,Delta (B.1.617.2-like),Gulf Coast
hCoV-19/USA/AK-PHL12670/2021,EPI_ISL_4298626,8/30/2021,AY.25,Delta (B.1.617.2-like),Gulf Coast
hCoV-19/USA/AK-PHL12677/2021,EPI_ISL_4298627,8/30/2021,AY.44,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12678/2021,EPI_ISL_4298628,8/30/2021,AY.44,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12681/2021,EPI_ISL_4298629,8/31/2021,AY.103,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12685/2021,EPI_ISL_4298630,8/31/2021,AY.103,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12692/2021,EPI_ISL_4298631,8/24/2021,AY.25.1,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12693/2021,EPI_ISL_4298632,8/24/2021,AY.103,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12694/2021,EPI_ISL_4298633,8/22/2021,AY.25,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12697/2021,EPI_ISL_4298634,8/22/2021,AY.44,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12703/2021,EPI_ISL_4298635,8/25/2021,AY.25,Delta (B.1.617.2-like) +K417N,Anchorage-Mat Su
hCoV-19/USA/AK-PHL12655/2021,EPI_ISL_4298636,8/25/2021,AY.44,Delta (B.1.617.2-like),Gulf Coast
hCoV-19/USA/AK-PHL12667/2021,EPI_ISL_4298637,8/30/2021,AY.39,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12653/2021,EPI_ISL_4298638,8/27/2021,AY.39.1,Delta (B.1.617.2-like),Gulf Coast
hCoV-19/USA/AK-PHL12679/2021,EPI_ISL_4298639,8/30/2021,AY.39.1,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12633/2021,EPI_ISL_4298640,8/25/2021,AY.44,Delta (B.1.617.2-like),Gulf Coast
hCoV-19/USA/AK-PHL12618/2021,EPI_ISL_4298641,8/26/2021,AY.3,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12658/2021,EPI_ISL_4298642,8/27/2021,AY.122,Delta (B.1.617.2-like),Southwest
hCoV-19/USA/AK-PHL12652/2021,EPI_ISL_4298643,8/25/2021,AY.44,Delta (B.1.617.2-like),Gulf Coast
hCoV-19/USA/AK-PHL12675/2021,EPI_ISL_4298644,8/30/2021,AY.3,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12704/2021,EPI_ISL_4298645,8/25/2021,AY.39,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12689/2021,EPI_ISL_4298646,8/30/2021,AY.37,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12644/2021,EPI_ISL_4298647,8/16/2021,AY.103,Delta (B.1.617.2-like),Southwest
hCoV-19/USA/AK-PHL12696/2021,EPI_ISL_4298648,8/21/2021,AY.3,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12638/2021,EPI_ISL_4298649,8/26/2021,AY.3,Delta (B.1.617.2-like),Interior
hCoV-19/USA/AK-PHL12673/2021,EPI_ISL_4298650,8/30/2021,AY.25,Delta (B.1.617.2-like),Gulf Coast
hCoV-19/USA/AK-PHL12695/2021,EPI_ISL_4298651,8/21/2021,AY.3,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12636/2021,EPI_ISL_4298652,8/25/2021,AY.44,Delta (B.1.617.2-like),Gulf Coast
hCoV-19/USA/AK-PHL12650/2021,EPI_ISL_4298653,8/25/2021,AY.44,Delta (B.1.617.2-like),Gulf Coast
hCoV-19/USA/AK-PHL12666/2021,EPI_ISL_4298654,8/30/2021,AY.3,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12701/2021,EPI_ISL_4298655,8/25/2021,AY.44,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12700/2021,EPI_ISL_4298656,8/24/2021,AY.103,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12702/2021,EPI_ISL_4298657,8/25/2021,AY.3.1,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12674/2021,EPI_ISL_4298658,8/30/2021,AY.44,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12634/2021,EPI_ISL_4298659,8/25/2021,AY.54,Delta (B.1.617.2-like),Gulf Coast
hCoV-19/USA/AK-PHL12649/2021,EPI_ISL_4298660,8/17/2021,AY.44,Delta (B.1.617.2-like),Southeast
hCoV-19/USA/AK-PHL12042/2021,EPI_ISL_4299114,8/21/2021,B.1.621,Mu (B.1.621-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12079/2021,EPI_ISL_4299115,8/21/2021,AY.26,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12081/2021,EPI_ISL_4299116,8/20/2021,AY.46.4,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12087/2021,EPI_ISL_4299117,8/21/2021,AY.3,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12121/2021,EPI_ISL_4299118,8/17/2021,AY.13,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12071/2021,EPI_ISL_4299119,8/15/2021,B.1.617.2,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12072/2021,EPI_ISL_4299120,8/15/2021,AY.25.1,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12041/2021,EPI_ISL_4299121,8/21/2021,B.1.621,Mu (B.1.621-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12051/2021,EPI_ISL_4299122,8/18/2021,AY.54,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12112/2021,EPI_ISL_4299123,8/21/2021,AY.54,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12049/2021,EPI_ISL_4299124,8/18/2021,AY.13,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12103/2021,EPI_ISL_4299125,8/20/2021,AY.44,Delta (B.1.617.2-like),Gulf Coast
hCoV-19/USA/AK-PHL12053/2021,EPI_ISL_4299126,8/18/2021,AY.103,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12034/2021,EPI_ISL_4299127,8/13/2021,AY.44,Delta (B.1.617.2-like),Southeast
hCoV-19/USA/AK-PHL12074/2021,EPI_ISL_4299128,8/15/2021,AY.54,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12047/2021,EPI_ISL_4299129,8/21/2021,AY.44,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12083/2021,EPI_ISL_4299130,8/21/2021,AY.26,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12060/2021,EPI_ISL_4299131,8/18/2021,AY.13,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12056/2021,EPI_ISL_4299132,8/18/2021,AY.26,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12062/2021,EPI_ISL_4299133,8/18/2021,AY.54,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12080/2021,EPI_ISL_4299134,8/21/2021,AY.44,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12096/2021,EPI_ISL_4299135,8/19/2021,AY.44,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12040/2021,EPI_ISL_4299136,8/21/2021,AY.13,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12115/2021,EPI_ISL_4299137,8/17/2021,AY.25,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12095/2021,EPI_ISL_4299138,8/19/2021,AY.54,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12114/2021,EPI_ISL_4299139,8/21/2021,AY.39.1,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12030/2021,EPI_ISL_4299140,8/21/2021,AY.103,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12105/2021,EPI_ISL_4299141,8/21/2021,AY.44,Delta (B.1.617.2-like),Gulf Coast
hCoV-19/USA/AK-PHL12100/2021,EPI_ISL_4299142,8/20/2021,AY.13,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12068/2021,EPI_ISL_4299143,8/16/2021,AY.54,Delta (B.1.617.2-like),Gulf Coast
hCoV-19/USA/AK-PHL12116/2021,EPI_ISL_4299144,8/17/2021,AY.25,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12073/2021,EPI_ISL_4299145,8/15/2021,AY.75,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12090/2021,EPI_ISL_4299146,8/20/2021,AY.46.4,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12120/2021,EPI_ISL_4299147,8/18/2021,AY.103,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12035/2021,EPI_ISL_4299148,8/12/2021,AY.103,Delta (B.1.617.2-like),Southeast
hCoV-19/USA/AK-PHL12033/2021,EPI_ISL_4299149,8/13/2021,AY.44,Delta (B.1.617.2-like),Southeast
hCoV-19/USA/AK-PHL12075/2021,EPI_ISL_4299150,8/15/2021,AY.3,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12039/2021,EPI_ISL_4299151,8/21/2021,AY.44,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12110/2021,EPI_ISL_4299152,8/21/2021,AY.25.1,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12077/2021,EPI_ISL_4299153,8/18/2021,AY.44,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12078/2021,EPI_ISL_4299154,8/20/2021,AY.46.4,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12048/2021,EPI_ISL_4299155,8/18/2021,AY.3.1,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12045/2021,EPI_ISL_4299156,8/19/2021,AY.54,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12117/2021,EPI_ISL_4299157,8/17/2021,AY.100,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12036/2021,EPI_ISL_4299158,8/12/2021,AY.103,Delta (B.1.617.2-like),Southeast
hCoV-19/USA/AK-PHL12065/2021,EPI_ISL_4299159,8/18/2021,AY.44,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12084/2021,EPI_ISL_4299160,8/21/2021,AY.3,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12082/2021,EPI_ISL_4299161,8/21/2021,AY.44,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12109/2021,EPI_ISL_4299162,8/21/2021,AY.3.1,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12059/2021,EPI_ISL_4299163,8/19/2021,AY.44,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12101/2021,EPI_ISL_4299164,8/20/2021,AY.103,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12099/2021,EPI_ISL_4299165,8/19/2021,AY.75,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12107/2021,EPI_ISL_4299166,8/19/2021,AY.44,Delta (B.1.617.2-like),Gulf Coast
hCoV-19/USA/AK-PHL12050/2021,EPI_ISL_4299167,8/18/2021,AY.44,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12076/2021,EPI_ISL_4299168,8/15/2021,AY.44,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12043/2021,EPI_ISL_4299169,8/21/2021,AY.103,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12067/2021,EPI_ISL_4299170,8/16/2021,AY.44,Delta (B.1.617.2-like),Gulf Coast
hCoV-19/USA/AK-PHL12104/2021,EPI_ISL_4299171,8/19/2021,AY.44,Delta (B.1.617.2-like),Gulf Coast
hCoV-19/USA/AK-PHL12054/2021,EPI_ISL_4299172,8/19/2021,AY.25,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12086/2021,EPI_ISL_4299173,8/21/2021,AY.54,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12111/2021,EPI_ISL_4299174,8/21/2021,AY.3.1,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12061/2021,EPI_ISL_4299175,8/19/2021,AY.46.4,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12058/2021,EPI_ISL_4299176,8/18/2021,AY.25.1,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12119/2021,EPI_ISL_4299177,8/17/2021,AY.25,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12113/2021,EPI_ISL_4299178,8/21/2021,AY.54,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12055/2021,EPI_ISL_4299179,8/18/2021,AY.103,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12098/2021,EPI_ISL_4299180,8/19/2021,AY.3.1,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12118/2021,EPI_ISL_4299181,8/17/2021,AY.25,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12097/2021,EPI_ISL_4299182,8/21/2021,AY.3.1,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12122/2021,EPI_ISL_4299183,8/17/2021,AY.44,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12044/2021,EPI_ISL_4299184,8/21/2021,AY.103,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12052/2021,EPI_ISL_4299185,8/18/2021,AY.3,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12032/2021,EPI_ISL_4299186,8/13/2021,AY.119,Delta (B.1.617.2-like),Southeast
hCoV-19/USA/AK-PHL12057/2021,EPI_ISL_4299187,8/18/2021,AY.75,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12031/2021,EPI_ISL_4299188,8/13/2021,AY.44,Delta (B.1.617.2-like),Southeast
hCoV-19/USA/AK-PHL12038/2021,EPI_ISL_4299189,8/13/2021,AY.103,Delta (B.1.617.2-like),Southeast
hCoV-19/USA/AK-PHL12046/2021,EPI_ISL_4299190,8/21/2021,AY.75,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL12037/2021,EPI_ISL_4299191,8/12/2021,AY.103,Delta (B.1.617.2-like),Southeast
hCoV-19/USA/AK-PHL12063/2021,EPI_ISL_4299192,8/18/2021,AY.54,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL010/2020,EPI_ISL_431013,3/17/2020,B.1,,Interior
hCoV-19/USA/AK-PHL011/2020,EPI_ISL_431014,3/17/2020,B,,Southeast
hCoV-19/USA/AK-PHL013/2020,EPI_ISL_431015,3/19/2020,B.1,,Interior
hCoV-19/USA/AK-PHL016/2020,EPI_ISL_431016,3/18/2020,B,,Southeast
hCoV-19/USA/AK-PHL040/2020,EPI_ISL_431017,3/24/2020,B.1,,Interior
hCoV-19/USA/AK-PHL052/2020,EPI_ISL_431018,3/26/2020,B.1,,Interior
hCoV-19/USA/AK-PHL074/2020,EPI_ISL_431019,3/27/2020,B.1,,Southeast
hCoV-19/USA/AK-CDC-LC0248203/2021,EPI_ISL_4339309,8/16/2021,AY.3.1,Delta (B.1.617.2-like),Unspecified
hCoV-19/USA/AK-CDC-LC0248202/2021,EPI_ISL_4339312,8/16/2021,AY.3.1,Delta (B.1.617.2-like),Unspecified
hCoV-19/USA/AK-CDC-LC0248206/2021,EPI_ISL_4339314,8/16/2021,AY.3.1,Delta (B.1.617.2-like),Unspecified
hCoV-19/USA/AK-CDC-LC0248205/2021,EPI_ISL_4339316,8/16/2021,AY.3.1,Delta (B.1.617.2-like),Unspecified
hCoV-19/USA/AK-CDC-LC0249769/2021,EPI_ISL_4340159,8/27/2021,AY.3.1,Delta (B.1.617.2-like),Unspecified
hCoV-19/USA/AK-CDC-LC0251529/2021,EPI_ISL_4340175,8/18/2021,B.1.617.2,Delta (B.1.617.2-like),Unspecified
hCoV-19/USA/AK-CDC-LC0251539/2021,EPI_ISL_4340176,8/18/2021,AY.103,Delta (B.1.617.2-like),Unspecified
hCoV-19/USA/AK-CDC-LC0251528/2021,EPI_ISL_4340177,8/18/2021,B.1.617.2,Delta (B.1.617.2-like),Unspecified
hCoV-19/USA/AK-CDC-LC0251524/2021,EPI_ISL_4340464,8/25/2021,AY.75,Delta (B.1.617.2-like),Unspecified
hCoV-19/USA/AK-CDC-LC0251526/2021,EPI_ISL_4340465,8/25/2021,B.1.617.2,Delta (B.1.617.2-like),Unspecified
hCoV-19/USA/AK-CDC-LC0251611/2021,EPI_ISL_4340479,8/26/2021,AY.44,Delta (B.1.617.2-like),Unspecified
hCoV-19/USA/AK-CDC-LC0251515/2021,EPI_ISL_4340506,8/26/2021,AY.44,Delta (B.1.617.2-like),Unspecified
hCoV-19/USA/AK-CDC-LC0251519/2021,EPI_ISL_4340507,8/26/2021,AY.25,Delta (B.1.617.2-like),Unspecified
hCoV-19/USA/AK-CDC-LC0251520/2021,EPI_ISL_4340508,8/26/2021,AY.3.1,Delta (B.1.617.2-like),Unspecified
hCoV-19/USA/AK-CDC-LC0251514/2021,EPI_ISL_4340509,8/26/2021,AY.25,Delta (B.1.617.2-like),Unspecified
hCoV-19/USA/AK-CDC-LC0251518/2021,EPI_ISL_4340510,8/26/2021,AY.25,Delta (B.1.617.2-like),Unspecified
hCoV-19/USA/AK-CDC-LC0251516/2021,EPI_ISL_4340511,8/26/2021,AY.25,Delta (B.1.617.2-like),Unspecified
hCoV-19/USA/AK-CDC-LC0251521/2021,EPI_ISL_4340512,8/26/2021,AY.44,Delta (B.1.617.2-like),Unspecified
hCoV-19/USA/AK-CDC-LC0251484/2021,EPI_ISL_4340513,8/27/2021,AY.3.1,Delta (B.1.617.2-like),Unspecified
hCoV-19/USA/AK-CDC-LC0251483/2021,EPI_ISL_4340514,8/27/2021,AY.44,Delta (B.1.617.2-like),Unspecified
hCoV-19/USA/AK-CDC-LC0251479/2021,EPI_ISL_4340515,8/27/2021,AY.46.4,Delta (B.1.617.2-like),Unspecified
hCoV-19/USA/AK-CDC-LC0251523/2021,EPI_ISL_4340516,8/25/2021,AY.3.1,Delta (B.1.617.2-like),Unspecified
hCoV-19/USA/AK-CDC-LC0251476/2021,EPI_ISL_4340517,8/27/2021,AY.25,Delta (B.1.617.2-like),Unspecified
hCoV-19/USA/AK-CDC-LC0251481/2021,EPI_ISL_4340518,8/27/2021,AY.54,Delta (B.1.617.2-like),Unspecified
hCoV-19/USA/AK-CDC-LC0251475/2021,EPI_ISL_4340519,8/27/2021,AY.25,Delta (B.1.617.2-like),Unspecified
hCoV-19/USA/AK-CDC-LC0252330/2021,EPI_ISL_4341161,8/23/2021,B.1.617.2,Delta (B.1.617.2-like),Unspecified
hCoV-19/USA/AK-CDC-LC0252329/2021,EPI_ISL_4341162,8/23/2021,AY.46.4,Delta (B.1.617.2-like),Unspecified
hCoV-19/USA/AK-CDC-LC0252389/2021,EPI_ISL_4341163,8/23/2021,AY.36,Delta (B.1.617.2-like),Unspecified
hCoV-19/USA/AK-CDC-LC0252362/2021,EPI_ISL_4341276,8/25/2021,AY.46.4,Delta (B.1.617.2-like),Unspecified
hCoV-19/USA/AK-CDC-LC0252584/2021,EPI_ISL_4341307,8/20/2021,AY.26,Delta (B.1.617.2-like),Unspecified
hCoV-19/USA/AK-CDC-LC0252585/2021,EPI_ISL_4341308,8/20/2021,AY.25.1,Delta (B.1.617.2-like),Unspecified
hCoV-19/USA/AK-CDC-LC0252579/2021,EPI_ISL_4341309,8/20/2021,AY.54,Delta (B.1.617.2-like),Unspecified
hCoV-19/USA/AK-CDC-LC0252588/2021,EPI_ISL_4341310,8/19/2021,AY.44,Delta (B.1.617.2-like),Unspecified
hCoV-19/USA/AK-CDC-LC0252759/2021,EPI_ISL_4341580,8/29/2021,AY.25,Delta (B.1.617.2-like),Unspecified
hCoV-19/USA/AK-CDC-LC0252755/2021,EPI_ISL_4341581,8/29/2021,AY.44,Delta (B.1.617.2-like),Unspecified
hCoV-19/USA/AK-CDC-LC0252760/2021,EPI_ISL_4341582,8/29/2021,AY.25,Delta (B.1.617.2-like),Unspecified
hCoV-19/USA/AK-CDC-LC0252762/2021,EPI_ISL_4341583,8/28/2021,AY.44,Delta (B.1.617.2-like),Unspecified
